 10   9   2015   15.0        0.28      0 
  9  12   2015   15.0        0.27      0 
 25   2   2016   15.0        0.21      0 
 22   3   2016   15.0        0.23      0 
 10   5   2016   15.0        0.28      0 
 24   5   2016   15.0        0.27      0 
  3   6   2016   15.0        0.26      0 
  8   6   2016   15.0        0.26      0 
 15   6   2016   15.0        0.24      0 
 23   6   2016   15.0        0.26      0 
  8   7   2016   15.0        0.30      0 
 21   7   2016   15.0        0.30      0 
 26   7   2016   15.0        0.25      0 
  4   8   2016   15.0        0.25      0 
 19   8   2016   15.0        0.28      0 
  9   9   2016   15.0        0.29      0 
 16   2   2017   15.0        0.23      0 
 27   4   2017   15.0        0.24      0 
 25   5   2017   15.0        0.27      0 
  8   6   2017   15.0        0.26      0 
 21   6   2017   15.0        0.21      0 
 11   7   2017   15.0        0.24      0 
 25   7   2017   15.0        0.22      0 
  8   8   2017   15.0        0.27      0 
 24   8   2017   15.0        0.25      0 
  7   9   2017   15.0        0.24      0 
 30  11   2017   15.0        0.23      0 
 14   3   2018   15.0        0.23      0 
 24   5   2018   15.0        0.27      0 
  6   6   2018   15.0        0.25      0 
 12   7   2018   15.0        0.25      0 
 24   7   2018   15.0        0.25      0 
  9   8   2018   15.0        0.27      0 
======================================================================================
=   SOIL TEMPERATURE (oC)                                                            =
=   line 1 no. of DATA POINTS (1 DATA POINT = 1 Date of DATA IN THE SOIL PROFILE),   =
=   HORIZON LAYERS                                                                   =
=                                                                                    =
=  DD   MM      YYYY   DEPTH(cm) TEMP (oC)                                           =
======================================================================================
119
  1     6     2010     15.0         20.50   
 18     6     2010     15.0         22.25   
 28     6     2010     15.0         22.25   
  2     7     2010     15.0         23.00   
  8     7     2010     15.0         20.25   
 14     7     2010     15.0         25.25   
 19     7     2010     15.0         24.00   
 27     7     2010     15.0         24.50   
 18     8     2010     15.0         18.90   
 16     9     2010     15.0         17.10   
  7    10     2010     15.0         15.00   
  4     4     2011     15.0         10.50   
 20     6     2011     15.0         25.25   
 13     7     2011     15.0         23.48   
 26     7     2011     15.0         26.25   
  9     8     2011     15.0         21.38   
 25     8     2011     15.0         19.50   
  8     9     2011     15.0         14.83   
 29     9     2011     15.0         14.21   
 17    11     2011     15.0          4.38   
 26     1     2012     15.0          4.37   
  6     3     2012     15.0          5.75   
 27     3     2012     15.0         13.00   
  2     5     2012     15.0         18.30   
 24     5     2012     15.0         23.83   
  1     6     2012     15.0         13.03   
  7     6     2012     15.0         22.75   
 19     6     2012     15.0         23.10   
 27     6     2012     15.0         22.85   
  5     7     2012     15.0         25.45   
 10     7     2012     15.0         21.73   
 19     7     2012     15.0         24.37   
 26     7     2012     15.0         24.20   
 31     7     2012     15.0         23.68   
  8     8     2012     15.0         21.70   
 15     8     2012     15.0         20.73   
 28     8     2012     15.0         20.73   
 20     9     2012     15.0         14.40   
 21    11     2012     15.0          5.08   
 18    12     2012     15.0          1.20   
 25     1     2013     15.0          0.00   
  6     3     2013     15.0         -0.84   
 15     4     2013     15.0          4.90   
  6     6     2013     15.0         17.63   
 14     6     2013     15.0         20.08   
 26     6     2013     15.0         25.18   
  9     7     2013     15.0         26.28   
 16     7     2013     15.0         23.43   
 23     7     2013     15.0         22.40   
  1     8     2013     15.0         19.78   
  8     8     2013     15.0         21.50   
 15     8     2013     15.0         19.25   
 20     8     2013     15.0         21.15   
 11     9     2013     15.0         22.28   
 21    10     2013     15.0          6.70   
 26    11     2013     15.0          0.45   
 19    12     2013     15.0          0.03   
 13     2     2014     15.0          0.00   
 26     3     2014     15.0          2.38   
 16     5     2014     15.0          8.65   
 29     5     2014     15.0         23.40   
 13     6     2014     15.0         18.70   
 17     6     2014     15.0         23.55   
 27     6     2014     15.0         21.08   
  2     7     2014     15.0         18.38   
 16     7     2014     15.0         18.13   
 21     7     2014     15.0         23.23   
 31     7     2014     15.0         19.33   
  5     8     2014     15.0         22.45   
 12     8     2014     15.0         18.48   
 20     8     2014     15.0         21.35   
  3     9     2014     15.0         20.13   
 17     9     2014     15.0         14.48   
  4    12     2014     15.0         -0.08   
 29     1     2015     15.0          1.18   
 24     2     2015     15.0         -0.92   
 26     3     2015     15.0          2.40   
 29     5     2015     15.0         17.25   
 10     6     2015     15.0         23.15   
 25     6     2015     15.0         24.50   
 30     6     2015     15.0         24.00   
  7     7     2015     15.0         19.83   
 14     7     2015     15.0         18.15   
 31     7     2015     15.0         22.35   
  6     8     2015     15.0         22.05   
 10     9     2015     15.0         19.85   
  9    12     2015     15.0          4.43   
 25     2     2016     15.0          1.80   
 22     3     2016     15.0          6.15   
 10     5     2016     15.0         16.40   
 24     5     2016     15.0         21.48   
  3     6     2016     15.0         20.68   
  8     6     2016     15.0         24.75   
 15     6     2016     15.0         27.28   
 23     6     2016     15.0         25.40   
  8     7     2016     15.0         23.85   
 21     7     2016     15.0         18.68   
 26     7     2016     15.0         22.20   
  4     8     2016     15.0         24.68   
 19     8     2016     15.0         22.33   
  9     9     2016     15.0         22.00   
 15    12     2016     15.0         -0.43   
 16     2     2017     15.0          1.80   
 27     4     2017     15.0         10.45   
 25     5     2017     15.0         16.58   
  8     6     2017     15.0         26.98   
 21     6     2017     15.0         27.23   
 11     7     2017     15.0         24.98   
 25     7     2017     15.0         24.63   
  8     8     2017     15.0         19.93   
 24     8     2017     15.0         19.45   
  7     9     2017     15.0         16.15   
 30    11     2017     15.0          5.03   
 14     3     2018     15.0          3.17   
 24     5     2018     15.0         22.10   
  6     6     2018     15.0         24.40   
 12     7     2018     15.0         24.05   
 24     7     2018     15.0         20.40   
  9     8     2018     15.0         21.88   
======================================================================================
=  TOTAL SOIL ORGANIC CARBON                                                         =
=   line 1 no. of DATA POINTS (1 DATA POINT = 1 Date of DATA IN THE SOIL PROFILE),   =
=   HORIZON LAYERS                                                                   =
=                                                                                    =
=  DD MM YYYY   DEPTH(cm)   Total Soil C (g/g, fraction)                             =
======================================================================================
2
 27    10     2010      7.5        0.0187   
 27    10     2010     15.0        0.0142   
 27    10     2010     30.0        0.0118   
 27    10     2010     60.0        0.0062   
 27    10     2010     90.0        0.0033   
 27    10     2010    120.0        0.0023   
 27    10     2010    149.0        0.0022   
  6     4     2016      7.5        0.0175   
  6     4     2016     15.0        0.0140   
  6     4     2016     30.0        0.0122   
======================================================================================
=   SOIL N2O                                                                         =
=   line 1 no. of DATA POINTS (1 DATA POINT = 1 Date of DATA ),                      =
=   line 2...n HORIZON LAYER DATA                                                    =
=                                                                                    =
=  DD MM YYYY   DEPTH(cm)   N2O (KG N/HA)                                            =
======================================================================================
136
 21     4     2010      7.9        0.0158   
  1     6     2010      7.9        0.0202   
